first_name,last_name,first_name_proper,last_name_proper,job_title,email,description,phone,password,password_confirmation,avatar_filename,content_type
Rached,ABASSI,rached,abassi,Médecin associé,rached.abassi@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 45 55 02 35,rachedabassi,rachedabassi,rached_abassi.jpeg,image/jpg
Lila,ABDELLI,lila,abdelli,Médecin associée,lila.abdelli@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 6 55 54 22 75,lilaabdelli,lilaabdelli,lila_abdelli.jpeg,image/jpg
Fabrice,AGBEMEBIA,fabrice,agbemebia,Médecin associé,fabrice.agbemebia@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 00 55 58 81,fabriceagbemebia,fabriceagbemebia,fabrice_agbemebia.jpeg,image/jpg
Paul,ANDREGNETTE,paul,andregnette,Médecin associé,paul.andregnette@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 45 55 01 52,paulandregnette,paulandregnette,paul_andregnette.jpeg,image/jpg
Tara,BEKTACHE,tara,bektache,Médecin associée,tara.bektache@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 6 55 57 11 13,tarabektache,tarabektache,tara_bektache.jpeg,image/jpg
Alexandra,CHMELEWSKY,alexandra,chmelewsky,Médecin associée,alexandra.chmelewsky@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 75 55 30 55,alexandrachmelewsky,alexandrachmelewsky,alexandra_chmelewsky.jpeg,image/jpg
Tarek,DALLEL,tarek,dallel,Médecin associé,tarek.dallel@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 85 55 56 05,tarekdallel,tarekdallel,tarek_dallel.jpeg,image/jpg
Frédérick,DE STE MAREVILLE,frédérick,de_ste_mareville,Cofondateur & cogérant,frédérick.de_ste_mareville@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 65 55 96 33,frédérickde_ste_mareville,frédérickde_ste_mareville,frédérick_de_ste_mareville.jpeg,image/jpg
Hubert,DELARUE,hubert,delarue,Médecin associé,hubert.delarue@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 6 55 59 33 71,hubertdelarue,hubertdelarue,hubert_delarue.jpeg,image/jpg
Amandine,DELASSUS,amandine,delassus,Secrétaire médicale,amandine.delassus@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 65 55 77 49,amandinedelassus,amandinedelassus,amandine_delassus.jpeg,image/jpg
Adrien,DENIS,adrien,denis,Médecin associé,adrien.denis@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 00 55 50 88,adriendenis,adriendenis,adrien_denis.jpeg,image/jpg
Dimitri,DESURMONT,dimitri,desurmont,Médecin associé,dimitri.desurmont@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 00 55 57 03,dimitridesurmont,dimitridesurmont,dimitri_desurmont.jpeg,image/jpg
Gérald,LORRIAUX,gérald,lorriaux,Médecin associé,gérald.lorriaux@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 00 55 58 17,géraldlorriaux,géraldlorriaux,gérald_lorriaux.jpeg,image/jpg
Hacène,MOUSSOUNI,hacène,moussouni,Cogérant,hacène.moussouni@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 6 55 59 23 96,hacènemoussouni,hacènemoussouni,hacène_moussouni.jpeg,image/jpg
Antoine,PATTYN,antoine,pattyn,Médecin associé,antoine.pattyn@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 6 55 54 85 59,antoinepattyn,antoinepattyn,antoine_pattyn.jpeg,image/jpg
Sarah,PIRES,sarah,pires,Médecin associée,sarah.pires@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 55 55 19 79,sarahpires,sarahpires,sarah_pires.jpeg,image/jpg
Frédéric,POCHET,frédéric,pochet,Cofondateur & cogérant,frédéric.pochet@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 6 55 58 85 92,frédéricpochet,frédéricpochet,frédéric_pochet.jpeg,image/jpg
Corinne,POTIN,corinne,potin,Assistante de direction,corinne.potin@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 00 55 53 01,corinnepotin,corinnepotin,corinne_potin.jpeg,image/jpg
Khalid,REGANY,khalid,regany,Médecin associé,khalid.regany@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 00 55 55 31,khalidregany,khalidregany,khalid_regany.jpeg,image/jpg
Matthias,SABRACHOU,matthias,sabrachou,Cofondateur & cogérant,matthias.sabrachou@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 7 00 55 54 63,matthiassabrachou,matthiassabrachou,matthias_sabrachou.jpeg,image/jpg
Chloé,SPRIET,chloé,spriet,Médecin associée,chloé.spriet@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 6 55 59 23 96,chloéspriet,chloéspriet,chloé_spriet.jpeg,image/jpg
Laurent,URSO,laurent,urso,Médecin associé,laurent.urso@smuca.fr,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",+33 6 55 59 23 96,laurenturso,laurenturso,laurent_urso.jpeg,image/jpg
